	0	200	400	600	800	1000	1200	1400	1600	1800	2000	2200	2400	2600	2800	3000	3100	3250	3400	3600	3800	4000	4200	4400	4600	4800
0	14.50	14.50	14.50	14.50	14.50	14.65	14.79	14.94	15.08	15.23	15.37	15.37	15.52	15.66	15.81	15.95	16.10	16.10	16.10	16.10	16.10	16.10	16.10	16.10	16.10	16.10
5	14.50	14.50	14.50	14.50	14.50	14.65	14.79	14.94	15.08	15.23	15.37	15.37	15.52	15.66	15.81	15.95	16.10	16.10	16.10	16.10	16.10	16.10	16.10	16.10	16.10	16.10
10	14.50	14.50	14.50	14.50	14.50	14.65	14.79	14.94	15.08	15.23	15.52	15.66	15.66	15.81	15.95	16.10	16.24	16.24	16.39	16.39	16.39	16.39	16.39	16.39	16.39	16.39
15	14.50	14.50	14.50	14.50	14.50	14.65	14.94	15.08	15.23	15.52	15.95	16.10	16.24	16.39	16.53	16.68	16.82	16.82	16.97	16.97	16.97	16.97	16.97	16.97	16.97	16.97
20	14.50	14.50	14.50	14.50	14.50	14.79	15.08	15.23	15.52	15.81	16.24	16.68	16.97	17.26	17.55	17.84	17.84	17.98	17.98	18.13	18.13	18.13	18.13	18.13	18.13	18.13
25	14.50	14.50	14.50	14.50	14.65	14.94	15.23	15.52	15.81	16.24	16.82	17.40	17.84	18.27	18.85	19.14	19.29	19.44	19.58	19.73	19.73	19.73	19.73	19.73	19.73	19.73
30	14.50	14.50	14.50	14.50	14.79	15.08	15.37	15.81	16.10	16.82	17.55	18.13	18.71	19.44	20.16	20.74	20.89	21.18	21.32	21.47	21.47	21.47	21.47	21.47	21.47	21.47
35	14.50	14.50	14.50	14.50	14.94	15.23	15.66	16.10	16.53	17.26	18.13	19.00	19.87	20.74	21.61	22.19	22.48	22.92	23.06	23.21	23.21	23.21	23.21	23.21	23.21	23.21
40	14.50	14.50	14.50	14.65	15.08	15.37	15.95	16.39	16.97	17.84	19.00	20.16	21.03	22.05	22.92	23.79	24.08	24.51	24.80	24.95	24.95	24.95	24.95	24.95	24.95	24.95
45	14.50	14.50	14.65	14.79	15.23	15.66	16.24	16.82	17.40	18.56	19.87	21.18	22.19	23.21	24.22	25.24	25.67	26.11	26.40	26.69	26.69	26.69	26.69	26.69	26.69	26.69
50	14.50	14.50	14.79	14.94	15.37	15.95	16.68	17.26	17.98	19.29	20.89	22.19	23.21	24.37	25.53	26.54	26.98	27.56	27.85	28.14	28.14	28.14	28.14	28.14	28.14	28.14
55	14.50	14.50	14.79	15.08	15.52	16.24	17.11	17.84	18.85	20.31	21.90	23.21	24.37	25.53	26.69	27.85	28.28	28.86	29.01	29.15	29.15	29.15	29.15	29.15	29.15	29.15
60	14.50	14.65	14.94	15.23	15.81	16.53	17.69	18.71	19.87	21.18	22.92	24.37	25.53	26.69	27.85	29.01	29.44	29.59	29.73	29.73	29.73	29.73	29.73	29.73	29.73	29.73
65	14.50	14.79	15.08	15.37	16.10	16.82	18.27	19.58	20.89	22.34	24.08	25.67	26.83	27.99	29.01	30.17	30.46	30.46	30.31	30.31	30.31	30.31	30.31	30.31	30.31	30.31
70	14.50	14.79	15.08	15.52	16.39	17.26	18.85	20.60	22.34	23.93	25.67	27.12	28.14	29.30	30.17	31.04	31.18	30.75	30.60	30.60	30.60	30.60	30.60	30.60	30.60	30.60
75	14.65	14.94	15.23	15.66	16.68	17.69	19.73	21.61	23.64	25.09	26.83	28.28	29.30	30.46	31.18	31.91	31.47	31.04	31.04	31.04	31.04	31.04	31.04	31.04	31.04	31.04
80	14.79	15.08	15.37	15.95	16.97	18.13	20.45	22.63	24.66	26.25	27.85	29.30	30.31	31.33	31.91	32.34	31.91	31.47	31.33	31.33	31.33	31.33	31.33	31.33	31.33	31.33
85	14.94	15.23	15.66	16.24	17.26	18.56	21.18	23.50	25.67	27.27	29.01	30.31	31.33	32.20	32.63	32.78	32.20	31.91	31.76	31.62	31.47	31.47	31.47	31.47	31.47	31.47
90	14.94	15.52	15.95	16.53	17.55	18.85	21.76	24.22	26.40	27.99	29.88	30.89	31.76	32.63	33.07	33.21	32.34	32.20	32.05	31.91	31.62	31.62	31.62	31.62	31.62	31.62
95	15.08	15.66	16.10	16.82	17.84	19.29	22.05	24.66	26.83	28.43	30.31	31.18	32.05	32.92	33.36	33.50	32.63	32.49	32.34	32.05	31.76	31.76	31.76	31.76	31.76	31.76
100	15.08	15.66	16.24	16.97	18.13	19.73	22.34	24.80	26.98	28.57	30.46	31.33	32.20	33.07	33.50	33.65	32.78	32.63	32.49	32.20	31.91	31.91	31.91	31.91	31.91	31.91
105	15.23	15.81	16.39	17.11	18.27	20.02	22.48	24.95	26.98	28.72	30.60	31.47	32.34	33.21	33.65	33.79	32.92	32.63	32.49	32.20	32.05	32.05	32.05	32.05	32.05	32.05
110	15.23	15.81	16.39	17.26	18.42	20.16	22.48	25.09	27.12	28.86	30.75	31.62	32.49	33.36	33.79	33.79	33.07	32.63	32.49	32.34	32.05	32.05	32.05	32.05	32.05	32.05
115	15.23	15.81	16.39	17.26	18.42	20.31	22.48	25.09	27.12	29.01	30.89	31.76	32.63	33.36	33.79	33.79	33.07	32.63	32.49	32.34	32.20	32.20	32.20	32.20	32.20	32.20
120	15.37	15.81	16.39	17.26	18.42	20.31	22.48	25.24	27.27	29.15	31.04	31.91	32.78	33.50	33.79	33.79	33.07	32.63	32.49	32.34	32.20	32.20	32.20	32.20	32.20	32.20
125	15.37	15.81	16.39	17.26	18.42	20.31	22.48	25.24	27.27	29.15	31.18	32.05	32.92	33.50	33.79	33.79	33.07	32.63	32.49	32.34	32.20	32.20	32.20	32.20	32.20	32.20