0	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	935	679	423	347	319	301	272	262	233	223	216	212	209	204	204	204	204	204	204
2	0	971	735	499	404	369	334	311	288	269	250	241	232	226	219	216	213	210	210	210
3	0	1015	789	563	457	409	361	336	310	291	272	263	253	247	240	235	230	228	228	228
4	0	1065	832	599	499	444	389	361	333	316	298	286	273	263	252	247	242	237	237	237
5	0	1111	867	629	535	472	408	381	353	335	316	303	290	278	265	260	254	249	249	249
6	0	1135	888	656	556	491	426	397	368	348	328	315	301	288	275	269	263	256	256	256
7	0	1136	900	677	574	507	439	409	379	359	338	323	308	296	283	278	272	269	269	269
8	0	1147	912	700	586	517	448	418	387	366	346	329	313	301	288	283	278	275	275	275
9	0	1157	926	725	598	526	453	423	392	373	354	335	316	304	291	286	281	278	278	278
10	0	1169	940	757	610	535	460	430	400	383	365	344	322	309	295	291	286	282	282	282
20	0	1758	1300	1010	824	726	627	581	535	500	465	447	428	413	397	381	365	354	354	354
30	0	2395	1779	1283	1006	892	777	713	648	607	566	537	507	488	469	452	436	420	420	420
40	0	2696	2325	1786	1391	1177	963	891	819	745	671	640	609	581	552	529	506	490	490	490
50	0	3133	2660	2188	1754	1527	1300	1181	1061	986	910	858	805	753	700	669	638	623	623	623
60	0	3471	3035	2600	2017	1802	1587	1452	1317	1229	1140	1072	1003	962	920	874	829	780	780	780
70	0	3900	3421	2959	2425	2171	1917	1744	1571	1459	1346	1282	1218	1143	1108	1050	993	958	958	958
80	0	3900	3834	3348	2804	2503	2202	2023	1843	1714	1585	1500	1415	1330	1277	1223	1160	1123	1123	1123
90	0	3900	3900	3696	3105	2785	2464	2262	2059	1944	1828	1733	1637	1520	1450	1376	1304	1261	1251	1251
100	0	3900	3900	3900	3433	3089	2745	2520	2295	2175	2054	1958	1861	1752	1663	1566	1476	1424	1424	1424